id,pred
20000,0.839
20001,0.507
20002,0.555
20003,0.513
20004,0.803
20005,0.8
20006,0.657
20007,0.772
20008,0.711
20009,0.789
20010,0.757
20011,0.501
20012,0.737
20013,0.547
20014,0.56
20015,0.624
20016,0.683
20017,0.391
20018,0.608
20019,0.373
20020,0.756
20021,0.7
20022,0.946
20023,0.508
20024,0.715
20025,0.141
20026,0.752
20027,0.871
20028,0.351
20029,0.752
20030,0.581
20031,0.765
20032,0.671
20033,0.667
20034,0.5
20035,0.731
20036,0.568
20037,0.433
20038,1.0
20039,0.807
20040,0.823
20041,0.683
20042,0.3
20043,0.657
20044,0.418
20045,0.429
20046,0.7
20047,0.532
20048,0.5
20049,0.963
20050,0.716
20051,0.725
20052,0.448
20053,0.854
20054,0.637
20055,0.651
20056,0.344
20057,0.414
20058,0.823
20059,0.4
20060,0.673
20061,0.701
20062,0.319
20063,0.718
20064,0.983
20065,0.982
20066,0.837
20067,0.44
20068,0.85
20069,0.681
20070,0.8
20071,0.637
20072,0.196
20073,0.9
20074,0.507
20075,0.552
20076,0.111
20077,0.598
20078,0.704
20079,1.0
20080,0.57
20081,0.302
20082,0.652
20083,0.596
20084,0.9
20085,0.444
20086,0.895
20087,0.433
20088,0.291
20089,0.487
20090,0.759
20091,0.426
20092,0.578
20093,0.604
20094,0.637
20095,0.751
20096,0.761
20097,0.518
20098,0.127
20099,0.479
20100,0.573
20101,0.372
20102,0.34
20103,0.699
20104,0.825
20105,0.468
20106,0.542
20107,0.535
20108,0.179
20109,0.441
20110,0.964
20111,0.8
20112,0.692
20113,0.742
20114,0.372
20115,0.493
20116,0.25
20117,0.657
20118,0.655
20119,0.5
20120,0.58
20121,0.735
20122,0.467
20123,0.285
20124,0.307
20125,0.407
20126,0.779
20127,0.608
20128,0.766
20129,0.632
20130,0.496
20131,0.67
20132,0.886
20133,0.312
20134,0.515
20135,0.739
20136,0.592
20137,0.88
20138,0.601
20139,0.463
20140,0.366
20141,0.4
20142,0.369
20143,0.51
20144,0.542
20145,0.868
20146,0.167
20147,0.836
20148,0.479
20149,0.767
20150,0.607
20151,0.384
20152,0.6
20153,0.892
20154,0.3
20155,0.827
20156,0.584
20157,0.7
20158,0.919
20159,0.438
20160,0.26
20161,0.3
20162,0.493
20163,0.327
20164,0.504
20165,0.254
20166,0.659
20167,0.765
20168,0.75
20169,0.3
20170,0.673
20171,0.906
20172,0.394
20173,0.834
20174,0.399
20175,0.9
20176,0.607
20177,0.344
20178,0.35
20179,0.713
20180,0.348
20181,0.651
20182,0.82
20183,0.631
20184,0.29
20185,0.867
20186,0.745
20187,0.231
20188,0.616
20189,0.745
20190,0.513
20191,0.422
20192,0.455
20193,0.549
20194,0.554
20195,0.553
20196,0.9
20197,0.742
20198,0.831
20199,0.533
20200,0.529
20201,0.805
20202,0.494
20203,0.774
20204,0.681
20205,0.773
20206,0.636
20207,0.7
20208,0.027
20209,0.545
20210,0.741
20211,0.619
20212,0.77
20213,0.426
20214,0.381
20215,0.777
20216,0.655
20217,0.6
20218,0.725
20219,0.553
20220,0.325
20221,0.589
20222,0.9
20223,0.636
20224,0.315
20225,0.534
20226,0.345
20227,0.305
20228,0.661
20229,0.439
20230,0.526
20231,0.6
20232,0.358
20233,0.55
20234,0.646
20235,0.476
20236,0.644
20237,0.443
20238,0.836
20239,0.415
20240,0.535
20241,0.546
20242,0.578
20243,0.7
20244,0.4
20245,0.474
20246,0.42
20247,0.838
20248,0.074
20249,0.464
20250,0.463
20251,0.499
20252,0.711
20253,0.582
20254,0.814
20255,0.9
20256,0.862
20257,0.612
20258,0.522
20259,0.6
20260,0.733
20261,0.273
20262,0.519
20263,0.646
20264,0.791
20265,0.16
20266,0.455
20267,0.607
20268,0.632
20269,0.431
20270,0.56
20271,0.645
20272,0.473
20273,0.364
20274,0.922
20275,0.796
20276,0.917
20277,0.664
20278,0.5
20279,0.655
20280,0.984
20281,0.602
20282,0.547
20283,0.715
20284,0.866
20285,0.8
20286,0.399
20287,0.672
20288,0.417
20289,0.575
20290,0.724
20291,0.537
20292,0.445
20293,0.09
20294,0.65
20295,0.604
20296,0.339
20297,0.685
20298,0.169
20299,0.195
20300,0.513
20301,0.604
20302,0.521
20303,0.643
20304,0.733
20305,0.911
20306,0.643
20307,0.489
20308,0.151
20309,0.485
20310,0.85
20311,0.595
20312,0.516
20313,0.844
20314,0.571
20315,0.664
20316,0.352
20317,0.4
20318,1.0
20319,0.0
20320,0.887
20321,0.796
20322,0.472
20323,0.906
20324,0.451
20325,0.8
20326,0.7
20327,0.669
20328,0.676
20329,0.504
20330,0.875
20331,0.707
20332,0.742
20333,0.606
20334,0.611
20335,0.847
20336,0.867
20337,0.5
20338,0.521
20339,0.156
20340,0.852
20341,0.7
20342,0.886
20343,0.694
20344,0.292
20345,0.566
20346,0.846
20347,0.604
20348,0.827
20349,0.871
20350,0.548
20351,0.625
20352,0.631
20353,0.903
20354,0.521
20355,0.47
20356,0.457
20357,0.4
20358,0.851
20359,0.713
20360,0.55
20361,0.8
20362,0.209
20363,0.506
20364,0.616
20365,0.763
20366,0.49
20367,0.717
20368,0.657
20369,0.721
20370,0.497
20371,0.836
20372,0.339
20373,0.679
20374,0.582
20375,0.909
20376,0.588
20377,0.551
20378,0.659
20379,0.668
20380,0.412
20381,0.657
20382,0.654
20383,0.595
20384,0.667
20385,0.613
20386,0.746
20387,0.231
20388,0.632
20389,0.661
20390,0.8
20391,0.3
20392,0.2
20393,0.482
20394,0.43
20395,0.797
20396,0.747
20397,0.679
20398,0.554
20399,0.298
20400,0.412
20401,0.928
20402,0.557
20403,0.56
20404,0.399
20405,0.623
20406,0.801
20407,0.415
20408,0.888
20409,0.677
20410,0.2
20411,0.238
20412,0.831
20413,0.71
20414,0.916
20415,0.641
20416,0.551
20417,0.465
20418,0.61
20419,0.863
20420,0.759
20421,0.249
20422,0.462
20423,0.709
20424,0.366
20425,0.788
20426,0.664
20427,0.498
20428,0.522
20429,0.026
20430,0.736
20431,0.867
20432,0.736
20433,0.837
20434,0.674
20435,0.235
20436,0.75
20437,0.6
20438,0.449
20439,0.559
20440,0.621
20441,0.631
20442,0.466
20443,0.78
20444,0.487
20445,0.85
20446,0.391
20447,0.852
20448,1.0
20449,0.6
20450,0.357
20451,0.731
20452,0.555
20453,0.333
20454,0.545
20455,1.0
20456,0.9
20457,0.502
20458,0.679
20459,0.731
20460,0.728
20461,0.747
20462,0.738
20463,0.731
20464,0.483
20465,0.541
20466,0.734
20467,0.7
20468,0.214
20469,0.785
20470,0.701
20471,0.555
20472,0.419
20473,0.6
20474,0.8
20475,0.296
20476,0.746
20477,0.403
20478,0.541
20479,0.768
20480,0.652
20481,0.9
20482,0.366
20483,0.55
20484,0.803
20485,0.9
20486,0.628
20487,0.8
20488,0.761
20489,0.6
20490,0.729
20491,0.441
20492,0.377
20493,0.49
20494,0.88
20495,0.746
20496,0.156
20497,0.681
20498,0.951
20499,0.691
20500,0.289
20501,1.0
20502,0.608
20503,0.603
20504,0.936
20505,0.707
20506,0.331
20507,0.543
20508,0.384
20509,0.693
20510,0.522
20511,0.884
20512,0.629
20513,0.9
20514,0.699
20515,0.763
20516,0.764
20517,0.649
20518,0.641
20519,0.782
20520,0.68
20521,0.563
20522,1.0
20523,0.51
20524,0.913
20525,0.343
20526,0.429
20527,0.823
20528,0.175
20529,0.552
20530,0.39
20531,0.71
20532,0.61
20533,0.797
20534,0.893
20535,0.918
20536,0.7
20537,0.95
20538,0.3
20539,0.81
